epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,18334.1,0.83443,0.75213,1.18689,0.88935,0.80827,0.87826,0.67625,1.00809,0.6539,1.28308,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,18890.4,0.83038,0.74834,1.18372,0.90678,0.80263,0.87953,0.67689,1.00574,0.64979,1.27842,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,19444.5,0.82229,0.73621,1.17773,0.89582,0.8068,0.87665,0.67749,1.0056,0.64906,1.27695,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,20000.9,0.81654,0.72855,1.17325,0.89447,0.81062,0.87842,0.67982,1.0048,0.65093,1.27461,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,20563.8,0.81232,0.72239,1.17016,0.90159,0.80415,0.87746,0.67851,1.00692,0.64812,1.27485,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,21115.7,0.80477,0.71244,1.16666,0.89153,0.81566,0.87848,0.67811,1.00865,0.64235,1.27652,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,21667.9,0.80419,0.70852,1.16489,0.90613,0.80947,0.88029,0.67934,1.00857,0.63385,1.27484,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,22221.7,0.79801,0.699,1.16023,0.9061,0.8106,0.8816,0.68293,1.00465,0.62657,1.27167,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,22773.8,0.79486,0.69203,1.15706,0.9094,0.81101,0.88343,0.68324,1.00302,0.62277,1.27007,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,23330.3,0.78675,0.68747,1.1509,0.90926,0.81329,0.88197,0.68291,1.00076,0.62182,1.26876,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,23881.3,0.78319,0.68087,1.14802,0.89929,0.81969,0.87983,0.68196,0.99951,0.62099,1.26783,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,24434.8,0.77682,0.67166,1.14705,0.90483,0.81641,0.87965,0.68245,0.99974,0.62281,1.26779,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,24987.7,0.77346,0.66267,1.14364,0.90552,0.81701,0.8777,0.68162,0.99728,0.6225,1.26591,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,25538.8,0.7679,0.65392,1.14084,0.90169,0.82033,0.87959,0.68116,0.99609,0.62211,1.26512,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,26090,0.76535,0.65044,1.13949,0.90667,0.82039,0.88005,0.6825,0.99406,0.62037,1.26334,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,26647.5,0.75929,0.64606,1.13343,0.90419,0.82129,0.88022,0.68248,0.99386,0.62059,1.26409,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,27201.7,0.75596,0.63842,1.13038,0.9036,0.82142,0.87954,0.68229,0.99504,0.6188,1.26529,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,27759.3,0.74808,0.63533,1.12829,0.89992,0.82406,0.88021,0.68251,0.99358,0.61859,1.2642,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,28313.2,0.74941,0.63161,1.12652,0.91395,0.80871,0.88083,0.68291,0.99291,0.61686,1.26411,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,28869.1,0.74414,0.62761,1.12303,0.91621,0.81256,0.88029,0.68304,0.99339,0.61696,1.26545,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,29425.4,0.73774,0.61999,1.12179,0.91371,0.81399,0.87988,0.68393,0.99411,0.61719,1.26685,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,29977.5,0.7364,0.6166,1.11843,0.91387,0.81443,0.88032,0.68337,0.99451,0.61651,1.26807,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,30531,0.73632,0.61024,1.1195,0.90619,0.81932,0.88077,0.68393,0.995,0.61473,1.26858,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,31105.7,0.72818,0.6092,1.11521,0.90818,0.81892,0.88116,0.68391,0.99342,0.61411,1.26715,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,31694.2,0.72208,0.60055,1.11085,0.91013,0.81523,0.88114,0.68421,0.9933,0.61476,1.26733,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,560.537,0.71618,0.58508,1.10888,0.90854,0.8186,0.8801,0.68413,0.99305,0.61378,1.26746,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,1115.83,0.72512,0.5952,1.11585,0.9074,0.81716,0.88024,0.68342,0.99374,0.61345,1.26785,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,1671.31,0.7205,0.59929,1.1124,0.90671,0.81978,0.8808,0.68388,0.99373,0.61252,1.26783,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2230.47,0.71334,0.59261,1.10602,0.90638,0.82048,0.87999,0.68364,0.99472,0.61289,1.26874,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2786.99,0.71404,0.58698,1.10515,0.90809,0.81752,0.87932,0.68317,0.99523,0.61251,1.26901,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3345.49,0.70441,0.57887,1.10368,0.90981,0.81718,0.87779,0.68263,0.99514,0.61268,1.26906,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3902.22,0.70362,0.57769,1.10193,0.89914,0.82074,0.87842,0.68258,0.99588,0.61239,1.27005,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4459.95,0.70211,0.57985,1.09909,0.89736,0.82195,0.87816,0.68281,0.99478,0.61261,1.26901,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5016.69,0.69456,0.56522,1.09213,0.91672,0.8077,0.8777,0.68238,0.99528,0.61232,1.26908,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5576.4,0.69199,0.55986,1.0885,0.91807,0.80741,0.87743,0.68244,0.99544,0.61297,1.2687,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6131.73,0.68494,0.55206,1.08987,0.91633,0.81016,0.87826,0.68341,0.99515,0.61191,1.26856,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6689.86,0.68763,0.55104,1.08866,0.91766,0.81059,0.87871,0.68331,0.99452,0.60999,1.26832,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7247.58,0.67585,0.5453,1.08201,0.91748,0.81118,0.87935,0.68339,0.99506,0.60801,1.2691,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7804.49,0.67134,0.53615,1.08057,0.91805,0.81192,0.87921,0.68361,0.99462,0.60809,1.26889,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8363.16,0.66568,0.53255,1.0751,0.91609,0.81205,0.87892,0.68268,0.99535,0.60806,1.27037,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8919.92,0.65948,0.52873,1.07275,0.91627,0.81133,0.87902,0.68243,0.99582,0.60777,1.27121,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9477.6,0.65619,0.52151,1.07319,0.91643,0.80978,0.87939,0.68219,0.99602,0.60759,1.27171,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10037.3,0.65411,0.5209,1.07174,0.9174,0.80659,0.8788,0.68226,0.99615,0.60729,1.27217,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10593.7,0.65352,0.51914,1.07033,0.91438,0.81276,0.8782,0.68184,0.9965,0.60754,1.27295,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11151.4,0.64287,0.50214,1.06354,0.9115,0.81177,0.87712,0.6812,0.99639,0.60823,1.27366,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11714.9,0.63603,0.50263,1.0604,0.91192,0.81105,0.87745,0.6815,0.9967,0.6089,1.27402,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
